"contactor","contactee","contact.rate"
"25","35",395.28384279476
"30","35",617.48786407767
"35","35",787.831168831169
"40","35",576.002331002331
"45","35",493.28798185941
"50","35",433.733766233766
"55","35",390.614035087719
"60","35",392.95045045045
"65","35",351.636155606407
"65+","35",181.487985212569
"1","40",330.053191489362
"2","40",352.833333333333
"3","40",357.288732394366
"4","40",396.633333333333
"5","40",415.761589403974
"6","40",381.920529801325
"7","40",452.282608695652
"8","40",408.259259259259
"9","40",409.640287769784
"10","40",482.864583333333
"11","40",409.580152671756
"12","40",335.34375
"13","40",388.63309352518
"14","40",338.357664233577
"15","40",370
"16","40",355.394736842105
"17","40",321.925465838509
"18","40",211.468253968254
"19","40",280.116279069767
"20","40",314.217391304348
"25","40",302.838427947598
"30","40",454.478155339806
"35","40",680.701298701299
"40","40",818.484848484848
"45","40",577.709750566893
"50","40",459.015151515152
"55","40",377.006578947368
"60","40",342.804054054054
"65","40",338.272311212815
"65+","40",225.341959334566
"1","45",198.031914893617
"2","45",206.833333333333
"3","45",221.056338028169
"4","45",243.333333333333
"5","45",282.814569536424
"6","45",285.23178807947
"7","45",383.514492753623
"8","45",394.740740740741
"9","45",446.402877697842
"10","45",422.03125
"11","45",470.87786259542
"12","45",476.78125
"13","45",475.287769784173
"14","45",450.255474452555
"15","45",480
"16","45",439.440789473684
"17","45",360.465838509317
"18","45",344.722222222222
"19","45",350.852713178295
"20","45",349.130434782609
"25","45",301.244541484716
"30","45",365
"35","45",498.675324675325
"40","45",678.951048951049
"45","45",794.557823129252
"50","45",519.058441558442
"55","45",467.456140350877
"60","45",382.263513513514
"65","45",332.425629290618
"65+","45",256.37707948244
"1","50",112.606382978723
"2","50",152.083333333333
"3","50",177.359154929577
"4","50",155.733333333333
"5","50",154.701986754967
"6","50",171.622516556291
"7","50",166.630434782609
"8","50",191.962962962963
"9","50",217.94964028777
"10","50",220.520833333333
"11","50",234.045801526718
"12","50",305.6875
"13","50",312.482014388489
"14","50",341.021897810219
"15","50",310
"16","50",338.585526315789
"17","50",439.813664596273
"18","50",437.420634920635
"19","50",407.441860465116
"20","50",441.173913043478
"25","50",372.96943231441
"30","50",354.368932038835
"35","50",336.558441558442
"40","50",438.170163170163
"45","50",571.08843537415
"50","50",656.525974025974
"55","50",489.06798245614
"60","50",359.245495495496
"65","50",258.089244851259
"65+","50",199.704251386322
"1","55",166.968085106383
"2","55",149.041666666667
"3","55",192.781690140845
"4","55",138.7
"5","55",137.781456953642
"6","55",132.94701986755
"7","55",132.246376811594
"8","55",118.962962962963
"9","55",175.935251798561
"10","55",186.302083333333
"11","55",142.099236641221
"12","55",148.28125
"13","55",183.812949640288
"14","55",178.503649635037
"15","55",200
"16","55",168.092105263158
"17","55",181.366459627329
"18","55",237.539682539683
"19","55",263.139534883721
"20","55",231.695652173913
"25","55",298.056768558952
"30","55",370.315533980583
"35","55",317.597402597403
"40","55",332.668997668998
"45","55",409.69387755102
"50","55",469.285714285714
"55","55",535.493421052632
"60","55",440.630630630631
"65","55",257.254004576659
"65+","55",193.632162661738
"1","60",147.553191489362
"2","60",164.25
"3","60",115.669014084507
"4","60",155.733333333333
"5","60",142.615894039735
"6","60",149.867549668874
"7","60",129.601449275362
"8","60",102.740740740741
"9","60",112.913669064748
"10","60",83.6458333333333
"11","60",105.87786259542
"12","60",93.53125
"13","60",86.6546762589928
"14","60",130.547445255474
"15","60",85
"16","60",86.4473684210526
"17","60",133.757763975155
"18","60",89.8015873015873
"19","60",127.325581395349
"20","60",177.739130434783
"25","60",172.139737991266
"30","60",251.601941747573
"35","60",244.597402597403
"40","60",210.151515151515
"45","60",185.396825396825
"50","60",240.17316017316
"55","60",400.219298245614
"60","60",523.65990990991
"65","60",363.329519450801
"65+","60",188.909426987061
"1","65",135.904255319149
"2","65",115.583333333333
"3","65",77.112676056338
"4","65",126.533333333333
"5","65",154.701986754967
"6","65",108.774834437086
"7","65",113.731884057971
"8","65",91.9259259259259
"9","65",107.661870503597
"10","65",95.0520833333333
"11","65",80.8015267175573
"12","65",47.90625
"13","65",73.5251798561151
"14","65",58.6131386861314
"15","65",85
"16","65",81.6447368421053
"17","65",45.3416149068323
"18","65",28.968253968254
"19","65",65.077519379845
"20","65",88.8695652173913
"25","65",81.2882096069869
"30","65",147.063106796117
"35","65",179.181818181818
"40","65",191.433566433566
"45","65",168.843537414966
"50","65",147.738095238095
"55","65",214.517543859649
"60","65",279.504504504504
"65","65",386.716247139588
"65+","65",263.123844731978
"1","65+",151.436170212766
"2","65+",185.541666666667
"3","65+",197.922535211268
"4","65+",226.3
"5","65+",203.046357615894
"6","65+",159.53642384106
"7","65+",169.275362318841
"8","65+",219
"9","65+",157.553956834532
"10","65+",212.916666666667
"11","65+",211.75572519084
"12","65+",177.9375
"13","65+",178.561151079137
"14","65+",197.153284671533
"15","65+",175
"16","65+",117.664473684211
"17","65+",104.285714285714
"18","65+",89.8015873015873
"19","65+",116.007751937984
"20","65+",203.130434782609
"25","65+",156.200873362445
"30","65+",203.76213592233
"35","65+",217.103896103896
"40","65+",296.934731934732
"45","65+",338.514739229025
"50","65+",316.017316017316
"55","65+",336.184210526316
"60","65+",428.29954954955
"65","65+",539.565217391304
"65+","65+",742.818853974122
